distance_cm,snr,confidence,kurtosis,skewness,rms,zero_crossing_rate,peak_to_peak,pulse_width_us,rise_time_us,fall_time_us,echo_area,crest_factor,spectral_centroid,spectral_crest,psd_energy,spectral_entropy,dominant_freq_hz,target_strength_dB,echo_noise_ratio,label,target_distance_cm
20.2,12.48,1.0,-0.7168,0.6564,5498.72,0.125,8240.78,177.76,44.44,99.99,83386.8,1.778,5320.3,8.321,373920992.0,0.7591,1054.8,21.93,12.48,wall,20
20.2,11.95,1.0,-0.7446,0.6834,5308.39,0.125,7571.98,177.76,44.44,99.99,81021.4,1.759,5244.0,8.449,346150240.0,0.7564,1054.8,21.55,11.95,wall,20
20.2,12.27,1.0,-0.7414,0.6668,5438.16,0.125,7885.26,177.76,44.44,99.99,82727.5,1.76,5288.6,8.342,364683360.0,0.7585,1054.8,21.78,12.27,wall,20
20.2,12.71,1.0,-0.7165,0.6519,5537.56,0.25,8418.91,177.76,44.44,99.99,83666.4,1.786,5399.3,8.243,380369952.0,0.7619,1054.8,22.08,12.71,wall,20
20.2,12.23,1.0,-0.747,0.6667,5417.64,0.125,7788.24,177.76,44.44,99.99,82308.7,1.754,5349.8,8.277,361381760.0,0.7603,1054.8,21.75,12.23,wall,20
20.1,12.29,1.0,-0.7516,0.659,5475.14,0.125,7829.83,177.76,44.44,99.99,83113.9,1.743,5323.5,8.238,369015840.0,0.7601,1054.8,21.79,12.29,wall,20
20.1,12.5,1.0,-0.7331,0.6476,5516.4,0.125,8195.52,177.76,44.44,99.99,83223.5,1.759,5450.2,8.12,375350368.0,0.764,703.2,21.94,12.5,wall,20
20.1,12.03,1.0,-0.7369,0.6811,5329.09,0.125,7658.02,177.76,44.44,99.99,80938.5,1.751,5365.6,8.281,348372800.0,0.7605,1054.8,21.6,12.03,wall,20
20.1,11.83,1.0,-0.6967,0.6717,5124.07,0.2353,7898.22,188.87,55.55,99.99,81315.0,1.791,5336.1,8.239,338411808.0,0.76,1406.4,21.46,11.83,wall,20
20.1,12.53,1.0,-0.7407,0.6539,5501.69,0.25,8066.85,177.76,44.44,99.99,83567.7,1.766,5343.8,8.277,373534784.0,0.7599,1054.8,21.96,12.53,wall,20
20.1,11.94,1.0,-0.7015,0.6546,5157.58,0.2353,7963.79,188.87,55.55,99.99,82399.9,1.795,5241.0,8.457,343887584.0,0.7562,1054.8,21.54,11.94,wall,20
