peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material,r_cm
23127.193,5775.619,2001466700000.0,0.0747845797429957,33357740.0,1.1855463,1.1163712,49550.61,4002930800000.0,401607000.0,59999,0.6666555555555556,1.0441619,1.675271936295121e-07,6.0043913e+16,28334.41430194174,16595.331690913845,37.49999999999999,8.600655,0.14215143,paper,165
23035.283,5758.6475,1989721200000.0,0.0809013483558059,33162020.0,1.2442262,1.132638,50145.035,3979441300000.0,401776300.0,59067,0.6563,0.96664065,-3.312452886860701e-07,5.9691614e+16,27470.806161996392,16871.26536188594,37.49999999999999,8.654264,0.10451091,paper,180
27006.574,6181.905,2292956800000.0,0.0811680194669911,38215948.0,1.129647,1.2837977,52260.953,4585913600000.0,429429060.0,58631,0.6514555555555556,1.0656365,1.0475138823485452e-08,6.878869e+16,28006.16712062543,16204.52218085702,37.49999999999999,8.606389,0.14574061,paper,195
27547.707,6559.329,2581488000000.0,0.0901848364139402,43024796.0,1.0892124,1.2463474,55121.64,5162975400000.0,456591600.0,59999,0.6666555555555556,1.0439937,2.61019280778659e-07,7.744462e+16,27568.17921782329,16143.759608967252,37.49999999999999,8.576079,0.15449828,paper,210
23174.54,6128.649,2253620500000.0,0.0530842180703011,37560332.0,1.3207594,1.14534,54356.047,4507239400000.0,430156930.0,59999,0.6666555555555556,1.032826,-9.41465024511202e-08,6.760858e+16,25855.1000815366,17277.14613932311,37.49999999999999,8.617563,0.060942646,paper,225
24840.508,6496.1436,2531993000000.0,0.0660511008516808,42199884.0,1.1763192,1.1629806,56254.64,5063986000000.0,454996100.0,57625,0.6402777777777777,0.95949006,-6.393015395653424e-07,7.595978e+16,27220.569617978377,16687.310107574038,37.49999999999999,8.624164,0.103693664,paper,240
30684.469,6037.9346,2187399000000.0,0.0538842314038567,36456576.0,0.9365729,1.9301276,50220.766,4374793600000.0,416019840.0,59999,0.6666555555555556,1.017187,-1.6941506812287816e-07,6.5621835e+16,29888.91516525986,15750.186505560196,37.49999999999999,8.617778,0.18856005,paper,255
24129.21,6375.3975,2438741600000.0,0.0477841297354955,40645690.0,1.3152804,1.1413751,56409.203,4877482000000.0,448392700.0,57627,0.6403,0.9423293,7.744447081694877e-08,7.316221e+16,25001.767046847843,17227.68486999875,37.49999999999999,8.647259,0.056554124,paper,270
23637.547,6259.416,2350817200000.0,0.0236337272287871,39180290.0,1.4202965,1.2212987,56361.965,4701634000000.0,439591400.0,57622,0.6402444444444444,0.98860997,1.8484806281026185e-07,7.0524475e+16,22420.727375499984,17278.499951414775,37.49999999999999,8.599365,0.027420005,paper,285
24328.984,6374.948,2438398000000.0,0.0297004950082501,40639924.0,1.3400977,1.1734543,56967.176,4876793000000.0,448219620.0,57627,0.6403,0.9486098,5.902523779723415e-07,7.315182e+16,24196.05039251889,17271.01898934764,37.49999999999999,8.593712,0.048158593,paper,300
