peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material,r_cm
27614.607,4503.5522,1216919000000.0,0.0792846547442457,20281986.0,0.8042126,4.2125545,34057.92,2433838200000.0,297003520.0,59999,0.6666555555555556,0.9863711,-2.823598365547781e-07,3.6507574e+16,31437.25480637807,14760.519268192436,37.49999999999999,8.646558,0.423169,cardboard,165
27818.105,4522.3857,1227118500000.0,0.0961516025267087,20451970.0,0.7563818,4.045602,34650.9,2454236200000.0,299939520.0,59999,0.6666555555555556,1.0275255,3.110493759145882e-07,3.681354e+16,31106.23523220931,14981.609096981145,37.49999999999999,8.600855,0.3954056,cardboard,180
34296.39,4668.885,1307909200000.0,0.0992849880831347,21798484.0,0.27672064,8.487207,37821.14,2615817500000.0,294403400.0,59999,0.6666555555555556,1.0297819,2.9229941697999053e-07,3.923725e+16,32480.007976675,13855.186475763225,37.49999999999999,8.755837,0.68557453,cardboard,195
29759.123,4423.068,1173811800000.0,0.0896181603026717,19563506.0,0.4923891,5.60557,32445.283,2347622000000.0,288417250.0,59999,0.6666555555555556,1.0396154,5.83225719941152e-07,3.5214308e+16,32065.220416501415,14295.323001298328,37.49999999999999,8.645051,0.5093871,cardboard,210
29845.965,5049.977,1530136200000.0,0.073951232520542,25502270.0,0.7335307,2.8802223,40078.535,3060271700000.0,341604060.0,59999,0.6666555555555556,1.0296791,4.891131873180339e-07,4.5904056e+16,30527.348134270644,15299.429153002227,37.49999999999999,8.601522,0.30945298,cardboard,225
24174.55,6474.3423,2515026600000.0,0.0561676027933798,41917100.0,1.2572958,1.0847287,56737.215,5030052600000.0,454759230.0,57628,0.6403111111111112,1.0429395,-5.109087102388881e-07,7.545078e+16,26220.790745163056,16968.79694868087,37.49999999999999,8.644405,0.0750927,cardboard,240
24225.213,6482.779,2521585200000.0,0.0486174769579492,42026396.0,1.2639927,1.1025372,56647.855,5043168000000.0,455667700.0,59999,0.6666555555555556,1.0134807,-4.730232648739117e-07,7.564748e+16,25965.70568748187,16981.25560560204,37.49999999999999,8.62,0.071163915,cardboard,255
27157.156,5958.716,2130377600000.0,0.0444507408456807,35506292.0,1.026107,1.4325638,50162.543,4260755000000.0,414665100.0,59999,0.6666555555555556,1.0168277,-2.6848384640537314e-07,6.3911325e+16,28590.986360923496,16179.840365556538,37.49999999999999,8.6625,0.14657235,cardboard,270
24278.805,6438.4116,2487188700000.0,0.0449340822347039,41453124.0,1.2336551,1.1501918,55938.51,4974376000000.0,452311420.0,57627,0.6403,0.9713624,3.179824550244498e-08,7.461558e+16,25894.32824330792,16966.927154743724,37.49999999999999,8.63982,0.07671708,cardboard,285
24130.695,6359.9287,2426921500000.0,0.0478507975132918,40448660.0,1.4065903,1.1973782,56516.95,4853840500000.0,446396740.0,59999,0.6666555555555556,1.0263395,-7.421240816696286e-07,7.2807555e+16,22950.97923858161,17282.219624458412,37.49999999999999,8.649613,0.029283663,cardboard,300
