r_cm,v_cms,temp,peak,snr,width_us,area,power_percent,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material
56.6,0.0,25.0,5622.56,28.28,622.16,154162.4,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5622.56,28.28,622.16,154162.4,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5622.56,28.28,622.16,154162.4,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5310.82,26.66,677.71,163915.3,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5310.82,26.66,677.71,163915.3,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5310.82,26.66,677.71,163915.3,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5310.82,26.66,677.71,163915.3,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.6,0.0,25.0,5310.82,26.66,677.71,163915.3,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.5,-0.22,25.0,5526.46,27.75,633.27,158424.8,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.5,-0.22,25.0,5526.46,27.75,633.27,158424.8,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.5,-0.22,25.0,5526.46,27.75,633.27,158424.8,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
56.5,-0.22,25.0,5526.46,27.75,633.27,158424.8,19.8,0.4783802651740204,2758.887978360799,11.32987926451734,243.5544300763122,0.0400000000000005,1.2137227500000018,5570.195296450564,60,Cardboard
67.4,0.22,25.0,7409.67,36.74,611.05,204788.0,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,0.22,25.0,7409.67,36.74,611.05,204788.0,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,0.22,25.0,7409.67,36.74,611.05,204788.0,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,0.22,25.0,7409.67,36.74,611.05,204788.0,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,-0.22,25.0,6656.59,33.09,622.16,198853.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,-0.22,25.0,6656.59,33.09,622.16,198853.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,-0.22,25.0,6656.59,33.09,622.16,198853.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
67.4,-0.22,25.0,6656.59,33.09,622.16,198853.2,19.8,0.5412455302225299,3024.3648356929643,9.11464202097874,331.8657106619753,0.0497493718553352,4.271638999999995,3513.672098332452,70,Cardboard
