r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
67.5,-3.5,25.0,898.53,4.52,1066.56,1.0,47401.9,19.8,156.0,0.36,0.22,3.56,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
67.5,-3.5,25.0,898.53,4.52,1066.56,1.0,47401.9,19.8,156.0,0.36,0.22,3.56,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.7,-3.5,25.0,924.24,4.64,1033.23,1.0,48016.0,19.8,156.0,0.62,0.45,6.15,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.7,-3.5,25.0,924.24,4.64,1033.23,1.0,48016.0,19.8,156.0,0.62,0.45,6.15,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.7,-3.5,25.0,924.24,4.64,1033.23,1.0,48016.0,19.8,156.0,0.62,0.45,6.15,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.7,-3.5,25.0,924.24,4.64,1033.23,1.0,48016.0,19.8,156.0,0.62,0.45,6.15,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.7,-3.5,25.0,924.24,4.64,1033.23,1.0,48016.0,19.8,156.0,0.62,0.45,6.15,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.3,-1.97,25.0,862.74,4.33,1099.89,1.0,46826.9,19.8,156.0,0.84,0.71,8.4,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.3,-1.97,25.0,862.74,4.33,1099.89,1.0,46826.9,19.8,156.0,0.84,0.71,8.4,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
66.3,-1.97,25.0,862.74,4.33,1099.89,1.0,46826.9,19.8,156.0,0.84,0.71,8.4,0.06481858773981536,706.2495762460651,16.24091577981748,43.55637712536533,0.46086874487211776,0.09365474999999988,696.0636191290286,70,Cloth,2026-02-08T08:08:38.256200
