r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
29.9,0.0,25.0,13398.93,31.23,177.76,1.0,113902.2,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13398.93,31.23,177.76,1.0,113902.2,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13398.93,31.23,177.76,1.0,113902.2,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13398.93,31.23,177.76,1.0,113902.2,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13249.64,31.03,188.87,1.0,114520.4,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13249.64,31.03,188.87,1.0,114520.4,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13249.64,31.03,188.87,1.0,114520.4,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
36.6,0.22,25.0,5681.42,26.14,566.61,1.0,130254.9,19.8,156.0,0.07,0.06,0.67,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.22,25.0,5681.42,26.14,566.61,1.0,130254.9,19.8,156.0,0.07,0.06,0.67,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.22,25.0,5681.42,26.14,566.61,1.0,130254.9,19.8,156.0,0.07,0.06,0.67,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.22,25.0,5681.42,26.14,566.61,1.0,130254.9,19.8,156.0,0.07,0.06,0.67,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.22,25.0,5681.42,26.14,566.61,1.0,130254.9,19.8,156.0,0.07,0.06,0.67,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5761.35,26.5,577.72,1.0,129154.8,19.8,156.0,0.08,0.07,0.77,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5761.35,26.5,577.72,1.0,129154.8,19.8,156.0,0.08,0.07,0.77,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5761.35,26.5,577.72,1.0,129154.8,19.8,156.0,0.08,0.07,0.77,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5761.35,26.5,577.72,1.0,129154.8,19.8,156.0,0.08,0.07,0.77,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5761.35,26.5,577.72,1.0,129154.8,19.8,156.0,0.08,0.07,0.77,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5069.11,23.3,633.27,1.0,130881.9,19.8,156.0,0.08,0.08,0.82,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5069.11,23.3,633.27,1.0,130881.9,19.8,156.0,0.08,0.08,0.82,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5069.11,23.3,633.27,1.0,130881.9,19.8,156.0,0.08,0.08,0.82,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5069.11,23.3,633.27,1.0,130881.9,19.8,156.0,0.08,0.08,0.82,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.6,0.0,25.0,5069.11,23.3,633.27,1.0,130881.9,19.8,156.0,0.08,0.08,0.82,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.5,-0.22,25.0,4900.72,22.51,666.6,1.0,130248.6,19.8,156.0,0.08,0.07,0.78,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.5,-0.22,25.0,4900.72,22.51,666.6,1.0,130248.6,19.8,156.0,0.08,0.07,0.78,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.5,-0.22,25.0,4900.72,22.51,666.6,1.0,130248.6,19.8,156.0,0.08,0.07,0.78,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.5,-0.22,25.0,4900.72,22.51,666.6,1.0,130248.6,19.8,156.0,0.08,0.07,0.78,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
36.5,-0.22,25.0,4900.72,22.51,666.6,1.0,130248.6,19.8,156.0,0.08,0.07,0.78,0.6728939291863164,3558.0399281383334,16.70782992738977,213.87820623572242,0.04330127018922255,3.0097687499999983,621.6776918146544,40,Cardboard,2026-02-08T05:25:18.426508
46.2,0.22,25.0,2341.46,11.7,822.14,1.0,93555.4,19.8,156.0,0.03,0.03,0.32,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
46.2,0.22,25.0,2341.46,11.7,822.14,1.0,93555.4,19.8,156.0,0.03,0.03,0.32,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
46.2,0.22,25.0,2341.46,11.7,822.14,1.0,93555.4,19.8,156.0,0.03,0.03,0.32,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,-1.97,25.0,2335.36,11.68,844.36,1.0,94419.2,19.8,156.0,0.11,0.06,1.11,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,-1.97,25.0,2335.36,11.68,844.36,1.0,94419.2,19.8,156.0,0.11,0.06,1.11,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,-1.97,25.0,2335.36,11.68,844.36,1.0,94419.2,19.8,156.0,0.11,0.06,1.11,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,-1.97,25.0,2335.36,11.68,844.36,1.0,94419.2,19.8,156.0,0.11,0.06,1.11,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,-1.97,25.0,2335.36,11.68,844.36,1.0,94419.2,19.8,156.0,0.11,0.06,1.11,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.0,25.0,2404.84,12.04,822.14,1.0,93195.9,19.8,156.0,0.15,0.11,1.46,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.0,25.0,2404.84,12.04,822.14,1.0,93195.9,19.8,156.0,0.15,0.11,1.46,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.0,25.0,2404.84,12.04,822.14,1.0,93195.9,19.8,156.0,0.15,0.11,1.46,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.0,25.0,2404.84,12.04,822.14,1.0,93195.9,19.8,156.0,0.15,0.11,1.46,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.0,25.0,2404.84,12.04,822.14,1.0,93195.9,19.8,156.0,0.15,0.11,1.46,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.22,25.0,2444.74,12.25,777.7,1.0,90788.9,19.8,156.0,0.16,0.14,1.61,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.22,25.0,2444.74,12.25,777.7,1.0,90788.9,19.8,156.0,0.16,0.14,1.61,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
45.8,0.22,25.0,2444.74,12.25,777.7,1.0,90788.9,19.8,156.0,0.16,0.14,1.61,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.14282856857085904,0.056602750000000056,1412.1425209499935,50,Cardboard,2026-02-08T05:25:34.414053
