r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
29.9,31.03,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,31.03,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,31.03,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
36.6,26.14,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.14,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.14,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.14,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.14,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.5,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.5,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.5,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.5,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,26.5,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,23.3,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,23.3,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,23.3,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,23.3,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.6,23.3,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.5,22.51,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.5,22.51,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.5,22.51,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.5,22.51,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
36.5,22.51,3558.0399281383334,213.8782062357224,16.70782992738977,3.0097687499999983,621.6776918146544,Cardboard
46.2,11.7,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
46.2,11.7,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
46.2,11.7,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,11.68,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,11.68,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,11.68,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,11.68,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,11.68,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.04,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.04,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.04,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.04,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.04,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.25,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.25,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.25,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.25,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.25,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,12.25,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
45.8,11.93,2024.002062893438,114.03896805348082,17.757538989394885,0.05660275,1412.1425209499937,Cardboard
56.6,25.47,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,25.47,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,25.47,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,25.47,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
56.6,25.47,2758.887978360799,243.5544300763122,11.32987926451734,1.2137227500000018,5570.195296450564,Cardboard
