r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
248.0,-0.43,25.0,679.52,3.4,14720.75,1.0,421158.8,19.2,161.0,0.31,0.26,3.09,0.01498843042186282,1671.789228770401,56.772335306922244,29.46699550339311,0.18708286933869558,0.05330475,6242.360004885979,250,Paper,2026-02-08T07:45:33.141593
248.0,-0.43,25.0,679.52,3.4,14720.75,1.0,421158.8,19.2,161.0,0.31,0.26,3.09,0.01498843042186282,1671.789228770401,56.772335306922244,29.46699550339311,0.18708286933869558,0.05330475,6242.360004885979,250,Paper,2026-02-08T07:45:33.141593
248.0,-0.43,25.0,679.52,3.4,14720.75,1.0,421158.8,19.2,161.0,0.31,0.26,3.09,0.01498843042186282,1671.789228770401,56.772335306922244,29.46699550339311,0.18708286933869558,0.05330475,6242.360004885979,250,Paper,2026-02-08T07:45:33.141593
258.2,0.0,25.0,892.85,4.44,12843.16,1.0,397523.9,19.2,161.0,0.2,0.13,2.01,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
258.2,0.0,25.0,892.85,4.44,12843.16,1.0,397523.9,19.2,161.0,0.2,0.13,2.01,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
258.2,0.0,25.0,823.35,4.1,12843.16,1.0,394715.4,19.2,161.0,0.08,0.08,0.82,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
258.2,0.0,25.0,823.35,4.1,12843.16,1.0,394715.4,19.2,161.0,0.08,0.08,0.82,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
258.2,0.0,25.0,823.35,4.1,12843.16,1.0,394715.4,19.2,161.0,0.08,0.08,0.82,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
258.2,0.0,25.0,823.35,4.1,12843.16,1.0,394715.4,19.2,161.0,0.08,0.08,0.82,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
258.2,0.0,25.0,823.35,4.1,12843.16,1.0,394715.4,19.2,161.0,0.08,0.08,0.82,0.015214949651432993,1525.5822618125485,50.061694422927964,30.48626642821781,5.684341886080802e-14,0.06097275000000002,5255.377064245726,260,Paper,2026-02-08T07:45:43.641814
